Fecha;Nombre Comuna;Año;Poblacion;Mes
01/01/2002;ALHUE;2002;4567;1
01/02/2002;ALHUE;2002;4581.833333;2
01/03/2002;ALHUE;2002;4596.666667;3
01/04/2002;ALHUE;2002;4611.5;4
01/05/2002;ALHUE;2002;4626.333333;5
01/06/2002;ALHUE;2002;4641.166667;6
01/07/2002;ALHUE;2002;4656;7
01/08/2002;ALHUE;2002;4670.833333;8
01/09/2002;ALHUE;2002;4685.666667;9
01/10/2002;ALHUE;2002;4700.5;10
01/11/2002;ALHUE;2002;4715.333333;11
01/12/2002;ALHUE;2002;4730.166667;12
01/01/2003;ALHUE;2003;4745;1
01/02/2003;ALHUE;2003;4758.583333;2
01/03/2003;ALHUE;2003;4772.166667;3
01/04/2003;ALHUE;2003;4785.75;4
01/05/2003;ALHUE;2003;4799.333333;5
01/06/2003;ALHUE;2003;4812.916667;6
01/07/2003;ALHUE;2003;4826.5;7
01/08/2003;ALHUE;2003;4840.083333;8
01/09/2003;ALHUE;2003;4853.666667;9
01/10/2003;ALHUE;2003;4867.25;10
01/11/2003;ALHUE;2003;4880.833333;11
01/12/2003;ALHUE;2003;4894.416667;12
01/01/2004;ALHUE;2004;4908;1
01/02/2004;ALHUE;2004;4922.166667;2
01/03/2004;ALHUE;2004;4936.333333;3
01/04/2004;ALHUE;2004;4950.5;4
01/05/2004;ALHUE;2004;4964.666667;5
01/06/2004;ALHUE;2004;4978.833333;6
01/07/2004;ALHUE;2004;4993;7
01/08/2004;ALHUE;2004;5007.166667;8
01/09/2004;ALHUE;2004;5021.333333;9
01/10/2004;ALHUE;2004;5035.5;10
01/11/2004;ALHUE;2004;5049.666667;11
01/12/2004;ALHUE;2004;5063.833333;12
01/01/2005;ALHUE;2005;5078;1
01/02/2005;ALHUE;2005;5091;2
01/03/2005;ALHUE;2005;5104;3
01/04/2005;ALHUE;2005;5117;4
01/05/2005;ALHUE;2005;5130;5
01/06/2005;ALHUE;2005;5143;6
01/07/2005;ALHUE;2005;5156;7
01/08/2005;ALHUE;2005;5169;8
01/09/2005;ALHUE;2005;5182;9
01/10/2005;ALHUE;2005;5195;10
01/11/2005;ALHUE;2005;5208;11
01/12/2005;ALHUE;2005;5221;12
01/01/2006;ALHUE;2006;5234;1
01/02/2006;ALHUE;2006;5247.5;2
01/03/2006;ALHUE;2006;5261;3
01/04/2006;ALHUE;2006;5274.5;4
01/05/2006;ALHUE;2006;5288;5
01/06/2006;ALHUE;2006;5301.5;6
01/07/2006;ALHUE;2006;5315;7
01/08/2006;ALHUE;2006;5328.5;8
01/09/2006;ALHUE;2006;5342;9
01/10/2006;ALHUE;2006;5355.5;10
01/11/2006;ALHUE;2006;5369;11
01/12/2006;ALHUE;2006;5382.5;12
01/01/2007;ALHUE;2007;5396;1
01/02/2007;ALHUE;2007;5408.416667;2
01/03/2007;ALHUE;2007;5420.833333;3
01/04/2007;ALHUE;2007;5433.25;4
01/05/2007;ALHUE;2007;5445.666667;5
01/06/2007;ALHUE;2007;5458.083333;6
01/07/2007;ALHUE;2007;5470.5;7
01/08/2007;ALHUE;2007;5482.916667;8
01/09/2007;ALHUE;2007;5495.333333;9
01/10/2007;ALHUE;2007;5507.75;10
01/11/2007;ALHUE;2007;5520.166667;11
01/12/2007;ALHUE;2007;5532.583333;12
01/01/2008;ALHUE;2008;5545;1
01/02/2008;ALHUE;2008;5558;2
01/03/2008;ALHUE;2008;5571;3
01/04/2008;ALHUE;2008;5584;4
01/05/2008;ALHUE;2008;5597;5
01/06/2008;ALHUE;2008;5610;6
01/07/2008;ALHUE;2008;5623;7
01/08/2008;ALHUE;2008;5636;8
01/09/2008;ALHUE;2008;5649;9
01/10/2008;ALHUE;2008;5662;10
01/11/2008;ALHUE;2008;5675;11
01/12/2008;ALHUE;2008;5688;12
01/01/2009;ALHUE;2009;5701;1
01/02/2009;ALHUE;2009;5713.916667;2
01/03/2009;ALHUE;2009;5726.833333;3
01/04/2009;ALHUE;2009;5739.75;4
01/05/2009;ALHUE;2009;5752.666667;5
01/06/2009;ALHUE;2009;5765.583333;6
01/07/2009;ALHUE;2009;5778.5;7
01/08/2009;ALHUE;2009;5791.416667;8
01/09/2009;ALHUE;2009;5804.333333;9
01/10/2009;ALHUE;2009;5817.25;10
01/11/2009;ALHUE;2009;5830.166667;11
01/12/2009;ALHUE;2009;5843.083333;12
01/01/2010;ALHUE;2010;5856;1
01/02/2010;ALHUE;2010;5867.583333;2
01/03/2010;ALHUE;2010;5879.166667;3
01/04/2010;ALHUE;2010;5890.75;4
01/05/2010;ALHUE;2010;5902.333333;5
01/06/2010;ALHUE;2010;5913.916667;6
01/07/2010;ALHUE;2010;5925.5;7
01/08/2010;ALHUE;2010;5937.083333;8
01/09/2010;ALHUE;2010;5948.666667;9
01/10/2010;ALHUE;2010;5960.25;10
01/11/2010;ALHUE;2010;5971.833333;11
01/12/2010;ALHUE;2010;5983.416667;12
01/01/2011;ALHUE;2011;5995;1
01/02/2011;ALHUE;2011;6007.833333;2
01/03/2011;ALHUE;2011;6020.666667;3
01/04/2011;ALHUE;2011;6033.5;4
01/05/2011;ALHUE;2011;6046.333333;5
01/06/2011;ALHUE;2011;6059.166667;6
01/07/2011;ALHUE;2011;6072;7
01/08/2011;ALHUE;2011;6084.833333;8
01/09/2011;ALHUE;2011;6097.666667;9
