Fecha,Nombre Corto,Localidad,Grupo Cliente,dotacion_consumo,Año,Mes
2012-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,No Residencial,130.0400878293601,2012,1
2012-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,Residencial,23.23594802889077,2012,1
2012-01-01,AGUAS ANDINAS,CALERA DE TANGO,No Residencial,191.99421641791045,2012,1
2012-01-01,AGUAS ANDINAS,CALERA DE TANGO,Residencial,50.99573602130088,2012,1
2012-01-01,AGUAS ANDINAS,CURACAVI,Residencial,25.154454017231018,2012,1
2012-01-01,AGUAS ANDINAS,EL MONTE - EL PAICO,Residencial,20.841526396863184,2012,1
2012-01-01,AGUAS ANDINAS,GRAN SANTIAGO,No Residencial,90.13798440636097,2012,1
2012-01-01,AGUAS ANDINAS,GRAN SANTIAGO,Residencial,22.194033647150732,2012,1
2012-01-01,AGUAS ANDINAS,ISLA DE MAIPO,Residencial,29.8800913589646,2012,1
2012-01-01,AGUAS ANDINAS,LA RINCONADA,Residencial,18.857676969092722,2012,1
2012-01-01,AGUAS ANDINAS,LAS VERTIENTES - EL CANELO - LA OBRA,Residencial,79.87254957507082,2012,1
2012-01-01,AGUAS ANDINAS,MALLOCO - PEÑAFLOR,Residencial,23.738636675039963,2012,1
2012-01-01,AGUAS ANDINAS,MELIPILLA,No Residencial,78.57352372583479,2012,1
2012-01-01,AGUAS ANDINAS,MELIPILLA,Residencial,17.312505260885988,2012,1
2012-01-01,AGUAS ANDINAS,PADRE HURTADO,Residencial,23.66459899153268,2012,1
2012-01-01,AGUAS ANDINAS,PIRQUE,No Residencial,238.42961038961042,2012,1
2012-01-01,AGUAS ANDINAS,PIRQUE,Residencial,52.51484602917342,2012,1
2012-01-01,AGUAS ANDINAS,POMAIRE,No Residencial,82.27607142857143,2012,1
2012-01-01,AGUAS ANDINAS,POMAIRE,Residencial,26.61030803080308,2012,1
2012-01-01,AGUAS ANDINAS,SAN GABRIEL,Residencial,33.87323943661972,2012,1
