Fecha,Nombre Corto,Localidad,dotacion_consumo,Año,Mes
2012-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,29.690275618910416,2012,1
2012-01-01,AGUAS ANDINAS,CALERA DE TANGO,64.03943389713497,2012,1
2012-01-01,AGUAS ANDINAS,CURACAVI,25.154454017231018,2012,1
2012-01-01,AGUAS ANDINAS,EL MONTE - EL PAICO,20.841526396863184,2012,1
2012-01-01,AGUAS ANDINAS,GRAN SANTIAGO,26.242636136328542,2012,1
2012-01-01,AGUAS ANDINAS,ISLA DE MAIPO,29.8800913589646,2012,1
2012-01-01,AGUAS ANDINAS,LA RINCONADA,18.857676969092722,2012,1
2012-01-01,AGUAS ANDINAS,LAS VERTIENTES - EL CANELO - LA OBRA,79.87254957507082,2012,1
2012-01-01,AGUAS ANDINAS,MALLOCO - PEÑAFLOR,23.738636675039963,2012,1
2012-01-01,AGUAS ANDINAS,MELIPILLA,20.856556860352804,2012,1
2012-01-01,AGUAS ANDINAS,PADRE HURTADO,23.66459899153268,2012,1
2012-01-01,AGUAS ANDINAS,PIRQUE,73.14227665706052,2012,1
2012-01-01,AGUAS ANDINAS,POMAIRE,31.319194360523664,2012,1
2012-01-01,AGUAS ANDINAS,SAN GABRIEL,33.87323943661972,2012,1
2012-01-01,AGUAS ANDINAS,SAN JOSE DE MAIPO,42.117378839590444,2012,1
2012-01-01,AGUAS ANDINAS,TALAGANTE,24.938259702982652,2012,1
2012-01-01,AGUAS ANDINAS,TIL TIL,34.15881535407015,2012,1
2012-01-01,AGUAS ANDINAS,VALDIVIA DE PAINE,32.163814180929094,2012,1
2012-01-01,AGUAS COLINA,AGUAS COLINA,118.94495412844037,2012,1
2012-01-01,AGUAS CORDILLERA,AGUAS CORDILLERA,48.10126193231125,2012,1
2012-01-01,AGUAS CORDILLERA,VILLA LOS DOMINICOS,143.3868274788795,2012,1
2012-01-01,AGUAS MANQUEHUE,CHICUREO,179.9692505720824,2012,1
2012-01-01,AGUAS MANQUEHUE,EL CHAMISERO,122.46276707530649,2012,1
2012-01-01,AGUAS MANQUEHUE,LOS TRAPENSES,178.46524068534129,2012,1
2012-01-01,AGUAS MANQUEHUE,SANTA MARIA DE MANQUEHUE,151.45389610389608,2012,1
2012-01-01,AGUAS MANQUEHUE,VALLE GRANDE ETAPA III,0.0,2012,1
2012-01-01,AGUAS SANTIAGO PONIENTE,AP BARRANCAS,42.7348623853211,2012,1
2012-01-01,BCC,LOTEO SANTO TOMAS,18.760721649484537,2012,1
2012-01-01,COSSBO,COSSBO,14.950824029771399,2012,1
2012-01-01,EMAPAL,LO AGUIRRE,108.15869017632242,2012,1
2012-01-01,ESSA,QUILICURA,370.4232824427481,2012,1
2012-01-01,HF12-22_ESSSI23-24,HUERTOS FAMILIARES,inf,2012,1
2012-01-01,IZARRA DE LO AGUIRRE,IZARRA DE LO AGUIRRE,6553.0,2012,1
2012-01-01,LA ESTACION,JARDINES DE LA ESTACION,17.88535031847134,2012,1
2012-01-01,LA LEONERA,LA LEONERA,17.85217391304348,2012,1
2012-01-01,MELIPILLA NORTE,MELIPILLA NORTE,13.137515842839036,2012,1
2012-01-01,NOVAGUAS,VALLE GRANDE,28.969001148105626,2012,1
2012-01-01,SACYR AGUA CHACABUCO,AYRES DE CHICUREO,60.233177842565595,2012,1
2012-01-01,SACYR AGUA CHACABUCO,COLINA - ESMERALDA,25.190669893414345,2012,1
2012-01-01,SACYR AGUA LAMPA,LAMPA,25.941805529782894,2012,1
2012-01-01,SACYR AGUA SANTIAGO,LO BARNECHEA,81.37045889101339,2012,1
2012-01-01,SACYR AGUA SANTIAGO,LOS ALAMOS DE COLINA,22.224719101123597,2012,1
2012-01-01,SACYR AGUA SANTIAGO,PAN DE AZUCAR,95.65637860082305,2012,1
2012-01-01,SACYR AGUA SANTIAGO,VALLE ESCONDIDO,245.94776119402985,2012,1
2012-01-01,SANTA ROSA DEL PERAL,SANTA ROSA DEL PERAL,46.78176795580111,2012,1
2012-01-01,SELAR,LARAPINTA,28.42383345297918,2012,1
2012-01-01,SEPRA,LO PRADO,60.410030627871365,2012,1
2012-01-01,SMAPA,LAS LOMAS DE MAIPU,17.67388825541619,2012,1
2012-01-01,SMAPA,LOS BOSQUINOS,18.33371625502585,2012,1
2012-01-01,SMAPA,MAIPU,26.0267387688078,2012,1
2012-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,28.04330651254155,2012,2
2012-02-01,AGUAS ANDINAS,CALERA DE TANGO,56.64843523316062,2012,2
2012-02-01,AGUAS ANDINAS,CURACAVI,23.390446804247645,2012,2
2012-02-01,AGUAS ANDINAS,EL MONTE - EL PAICO,19.1393964430752,2012,2
2012-02-01,AGUAS ANDINAS,GRAN SANTIAGO,23.728424178444264,2012,2
2012-02-01,AGUAS ANDINAS,ISLA DE MAIPO,29.33042253521127,2012,2
2012-02-01,AGUAS ANDINAS,LA RINCONADA,16.83974358974359,2012,2
2012-02-01,AGUAS ANDINAS,LAS VERTIENTES - EL CANELO - LA OBRA,76.77900849858358,2012,2
2012-02-01,AGUAS ANDINAS,MALLOCO - PEÑAFLOR,22.51485765043502,2012,2
2012-02-01,AGUAS ANDINAS,MELIPILLA,19.964747864985767,2012,2
2012-02-01,AGUAS ANDINAS,PADRE HURTADO,23.480900009513842,2012,2
2012-02-01,AGUAS ANDINAS,PIRQUE,77.07011527377522,2012,2
2012-02-01,AGUAS ANDINAS,POMAIRE,29.73902316213494,2012,2
2012-02-01,AGUAS ANDINAS,SAN GABRIEL,34.816901408450704,2012,2
2012-02-01,AGUAS ANDINAS,SAN JOSE DE MAIPO,38.978805460750856,2012,2
2012-02-01,AGUAS ANDINAS,TALAGANTE,23.149109516380655,2012,2
2012-02-01,AGUAS ANDINAS,TIL TIL,30.20147117296223,2012,2
2012-02-01,AGUAS ANDINAS,VALDIVIA DE PAINE,31.408312958435207,2012,2
2012-02-01,AGUAS COLINA,AGUAS COLINA,115.76539589442815,2012,2
2012-02-01,AGUAS CORDILLERA,AGUAS CORDILLERA,45.759941940335196,2012,2
2012-02-01,AGUAS CORDILLERA,VILLA LOS DOMINICOS,130.16247216035634,2012,2
2012-02-01,AGUAS MANQUEHUE,CHICUREO,168.58945961319682,2012,2
2012-02-01,AGUAS MANQUEHUE,EL CHAMISERO,124.95656742556918,2012,2
2012-02-01,AGUAS MANQUEHUE,LOS TRAPENSES,174.27895068493152,2012,2
2012-02-01,AGUAS MANQUEHUE,SANTA MARIA DE MANQUEHUE,134.2046471816284,2012,2
2012-02-01,AGUAS MANQUEHUE,VALLE GRANDE ETAPA III,0.0,2012,2
2012-02-01,AGUAS SANTIAGO PONIENTE,AP BARRANCAS,36.4053550295858,2012,2
2012-02-01,BCC,LOTEO SANTO TOMAS,17.76080412371134,2012,2
2012-02-01,COSSBO,COSSBO,16.004247411733473,2012,2
2012-02-01,EMAPAL,LO AGUIRRE,99.81108312342569,2012,2
2012-02-01,ESSA,QUILICURA,353.6625190839694,2012,2
