Fecha,Nombre Corto,Localidad,Comuna,Grupo Cliente,Clientes,M3 Ap
2025-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.3446304063682,149331.9872638544
2025-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.496670586585,149541.67673332698
2025-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.5637459692941,149751.36620279957
2025-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.5933375348866,149961.05567227217
2025-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6063924101454,150170.74514174473
2025-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6121518136988,150380.43461121732
2025-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6146926828096,150590.12408068991
2025-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.615813634967,150799.8135501625
2025-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6163081640766,151009.5030196351
2025-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6165263348867,151219.19248910766
2025-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166225850395,151428.88195858026
2025-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166650476032,151638.57142805285
2026-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166837807612,151848.26089752544
2026-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166920452458,152057.95036699803
2026-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166956912784,152267.6398364706
2026-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166972997944,152477.3293059432
