id,Test,SARIMA,Fecha
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,185540.06,186368.75954245197,2020-01-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,181478.57,187632.00955733625,2020-02-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,172502.43,179257.2832098878,2020-03-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,155437.23,171825.36275223308,2020-04-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,143846.24,161605.9500023308,2020-05-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,143287.26,145808.37799682887,2020-06-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,127058.94,139844.96934885244,2020-07-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,119506.54000000001,138830.19814019543,2020-08-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,130193.22,145445.4428790045,2020-09-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,133600.77000000002,151733.70038851458,2020-10-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,146589.76,164058.3665860569,2020-11-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,160601.21,177329.35679722793,2020-12-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,164003.46,181623.8045609693,2021-01-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,155079.39,184103.43232758858,2021-02-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,172939.94,176967.78700646767,2021-03-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,157951.88,168859.01076885976,2021-04-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,150949.68,156213.4638863953,2021-05-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,139869.64,143626.58585727302,2021-06-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,139160.18,137863.19384480565,2021-07-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,136830.45,135061.30375274908,2021-08-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,138796.49,141812.69107364095,2021-09-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,160476.05,149169.50334531648,2021-10-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,157489.33000000002,162066.53571599725,2021-11-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,181053.01,173519.25258847777,2021-12-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,158158.76,178977.52515888872,2022-01-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,170796.75,181588.24076459478,2022-02-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,174963.55,174610.93509583003,2022-03-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,166756.15,166563.22866983656,2022-04-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,152848.04,153136.52737626992,2022-05-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,152383.0,142029.59700915244,2022-06-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,149634.04,135570.88417043723,2022-07-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,138781.11000000002,132840.14185168524,2022-08-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,162632.33,139428.84613639914,2022-09-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,147120.11,147079.31004218003,2022-10-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,161932.63,160401.26179042243,2022-11-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,173045.68,170794.72232860062,2022-12-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,166633.22,177329.8475588157,2023-01-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,150898.27000000002,179511.561616172,2023-02-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,177522.66,172893.82417795906,2023-03-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,166048.53,164836.40264963426,2023-04-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,153417.38,151139.13428912192,2023-05-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,147589.11,140873.60463718174,2023-06-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,140022.91,133626.9687478057,2023-07-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,145061.96000000002,131510.02355568472,2023-08-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,134838.53999999998,137643.92101612219,2023-09-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,136413.43,145559.30562210066,2023-10-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,149369.15000000002,159053.4289670514,2023-11-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,166604.83000000002,168855.49594683206,2023-12-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,163508.26,176232.46513519157,2024-01-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,152827.43,177798.3159566825,2024-02-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,158791.9,171779.9599125572,2024-03-01
BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,161706.32,163485.85279558573,2024-04-01
