Fecha,T-Max,T-Min,T-Mensual,HR-12Hrs,HR-18Hrs,HR-00Hrs,PP-TOTAL,PP-MAX 24Hrs,PM-Estacion,PM-Mar,IPC,Dias Laborales,Dias No Laborales
2012-01-01,30.1,14.0,22.1,67.0,34.0,46.0,0.0,0.0,953.8,1012.9,0.1,23,8
2012-02-01,31.0,14.4,22.7,62.0,30.0,41.0,0.0,0.0,953.0,1012.0,0.4,22,7
2012-03-01,30.7,12.5,21.6,76.0,27.0,43.0,0.0,0.0,952.7,1012.1,0.2,22,9
2012-04-01,23.7,9.4,16.5,86.0,41.0,59.0,9.6,8.4,955.3,1015.9,0.1,18,12
2012-05-01,20.3,7.7,14.0,89.0,49.0,73.0,33.9,22.4,955.5,1016.9,0.0,22,9
2012-06-01,17.4,5.9,11.6,92.0,54.0,79.0,69.5,23.5,956.7,1018.6,-0.3,18,12
2012-07-01,17.1,2.6,9.8,92.0,46.0,73.0,2.0,1.2,957.7,1020.2,0.0,22,9
2012-08-01,17.3,4.2,10.7,91.0,48.0,71.0,35.8,19.7,958.1,1020.1,0.2,22,9
2012-09-01,20.6,7.3,13.9,89.0,47.0,66.0,1.9,0.6,957.1,1018.2,0.8,19,11
2012-10-01,21.1,8.4,14.8,81.0,46.0,64.0,41.3,24.6,956.4,1017.1,0.6,21,10
2012-11-01,27.2,10.9,19.0,65.0,34.0,50.0,0.0,0.0,954.9,1014.5,-0.5,21,9
2012-12-01,28.4,11.8,20.1,61.0,31.0,43.0,21.5,21.5,953.9,1013.2,0.0,20,11
2013-01-01,29.6,14.3,22.0,74.0,40.0,54.0,0.0,0.0,953.0,1011.9,0.2,23,8
2013-02-01,30.7,13.9,22.3,67.0,31.0,42.0,0.0,0.0,953.2,1012.0,0.1,21,7
2013-03-01,28.2,10.5,19.3,76.0,29.0,43.0,0.0,0.0,954.2,1013.8,0.4,22,9
2013-04-01,24.2,7.9,16.1,89.0,36.0,57.0,0.0,0.0,955.4,1016.0,-0.5,20,10
2013-05-01,19.2,5.9,12.6,92.0,50.0,74.0,96.0,33.4,957.2,1018.7,0.0,21,10
2013-06-01,18.1,4.4,11.3,94.0,50.0,81.0,34.6,22.1,957.5,1019.3,0.6,19,11
2013-07-01,16.5,3.6,10.0,95.0,52.0,81.0,3.7,1.8,957.5,1019.6,0.3,23,8
2013-08-01,18.4,4.1,11.3,92.0,48.0,70.0,24.4,18.0,958.7,1020.5,0.2,21,10
2013-09-01,19.8,6.2,13.0,80.0,39.0,58.0,6.4,3.5,957.7,1019.0,0.5,20,10
2013-10-01,24.2,8.1,16.1,73.0,35.0,53.0,0.0,0.0,956.0,1016.3,0.1,22,9
2013-11-01,27.0,9.5,18.2,65.0,30.0,47.0,0.0,0.0,955.1,1014.9,0.4,20,10
2013-12-01,29.5,12.6,21.0,63.0,33.0,46.0,0.0,0.0,953.6,1012.5,0.6,21,10
2014-01-01,31.1,13.9,22.5,57.0,29.0,40.0,0.0,0.0,953.3,1012.0,0.2,22,9
2014-02-01,29.6,12.1,20.8,68.0,30.0,42.0,0.0,0.0,953.2,1012.3,0.5,20,8
2014-03-01,27.9,10.8,19.3,79.0,32.0,46.0,0.0,0.0,954.4,1014.1,0.8,22,9
2014-04-01,24.0,7.0,15.5,84.0,33.0,51.0,0.0,0.0,955.7,1016.4,0.6,21,9
2014-05-01,20.2,7.0,13.0,89.0,45.0,72.0,8.9,4.2,956.9,1018.1,0.3,20,11
2014-06-01,15.4,3.2,8.1,94.0,57.0,82.0,75.2,23.1,957.1,1019.4,0.1,20,10
2014-07-01,16.4,4.9,9.4,89.0,53.0,77.0,34.5,28.7,958.3,1020.3,0.2,23,8
2014-08-01,19.3,5.3,11.0,91.0,49.0,73.0,46.5,27.7,957.2,1018.8,0.3,21,10
2014-09-01,18.6,7.4,12.3,90.0,54.0,72.0,31.1,9.2,957.5,1018.8,0.8,21,9
2014-10-01,25.4,9.7,17.0,71.0,35.0,51.0,0.1,0.1,955.7,1015.7,1.0,22,9
2014-11-01,26.5,9.9,18.0,62.0,31.0,44.0,5.8,5.8,955.8,1015.6,0.0,21,9
2014-12-01,28.6,11.4,19.7,62.0,31.0,45.0,1.2,1.0,954.5,1013.7,-0.4,21,10
2015-01-01,31.4,13.8,22.3,64.0,31.0,42.0,0.0,0.0,953.2,1012.1,0.1,21,10
2015-02-01,30.0,13.4,21.4,69.0,32.0,43.0,2.5,2.5,953.7,1012.6,0.4,20,8
2015-03-01,30.3,12.9,21.0,80.0,31.0,46.0,7.4,4.4,953.9,1013.1,0.6,23,8
2015-04-01,26.7,9.3,17.0,87.0,33.0,54.0,0.0,0.0,954.5,1014.6,0.6,21,9
2015-05-01,21.6,6.2,12.6,88.0,40.0,65.0,2.0,1.7,956.4,1017.5,0.2,20,11
2015-06-01,19.8,3.2,10.1,81.0,35.0,59.0,0.0,0.0,957.4,1019.2,0.5,21,9
2015-07-01,16.8,4.4,9.5,85.0,49.0,73.0,37.1,17.1,957.9,1019.9,0.4,22,9
2015-08-01,18.2,7.2,11.6,87.0,55.0,71.0,111.4,42.1,956.0,1017.3,0.7,22,9
2015-09-01,20.6,8.0,13.5,85.0,44.0,62.0,23.7,11.1,956.6,1017.4,0.5,22,8
2015-10-01,21.1,8.3,14.1,80.0,44.0,61.0,27.7,9.0,956.5,1017.3,0.4,21,10
2015-11-01,25.1,10.5,17.3,69.0,36.0,53.0,4.5,4.5,955.0,1014.9,0.0,22,8
2015-12-01,29.7,12.3,20.7,61.0,29.0,42.0,0.0,0.0,953.1,1012.1,0.0,21,10
2016-01-01,29.4,14.5,21.7,71.0,39.0,49.0,10.2,10.2,954.1,1013.1,0.5,21,10
2016-02-01,31.1,13.5,22.0,74.0,31.0,42.0,0.0,0.0,952.8,1011.7,0.3,22,7
2016-03-01,28.2,11.8,19.3,86.0,38.0,54.0,0.0,0.0,954.6,1014.1,0.4,24,7
2016-04-01,21.1,9.7,14.4,89.0,54.0,73.0,109.0,50.0,955.7,1016.4,0.3,18,12
2016-05-01,19.4,9.1,13.2,92.0,57.0,83.0,20.5,12.5,956.5,1017.6,0.2,23,8
2016-06-01,17.3,4.1,9.3,95.0,54.0,84.0,38.4,20.4,958.4,1020.5,0.4,21,9
2016-07-01,16.6,5.1,9.7,94.0,55.0,81.0,50.2,23.2,957.7,1019.6,0.2,22,9
2016-08-01,19.9,5.6,11.7,90.0,46.0,68.0,0.0,0.0,958.6,1020.1,0.0,23,8
2016-09-01,24.0,6.6,14.4,84.0,34.0,55.0,0.4,0.4,957.3,1018.0,0.2,21,9
2016-10-01,23.8,9.0,16.0,71.0,36.0,52.0,16.2,12.4,956.4,1016.8,0.2,19,12
2016-11-01,28.8,11.0,19.6,59.0,29.0,40.0,0.0,0.0,955.0,1014.3,0.1,22,8
2016-12-01,29.1,12.3,20.3,63.0,33.0,46.0,23.6,18.7,954.4,1013.5,-0.2,21,10
2017-01-01,33.3,15.0,24.1,51.0,24.0,32.0,0.0,0.0,953.4,1011.7,0.5,23,8
2017-02-01,30.9,14.1,22.0,65.0,30.0,43.0,0.0,0.0,953.7,1012.6,0.2,21,7
2017-03-01,28.5,11.4,19.5,76.0,32.0,43.0,0.0,0.0,954.3,1013.8,0.4,23,8
2017-04-01,24.4,8.7,15.7,85.0,36.0,54.0,5.6,2.8,955.8,1016.2,0.2,17,13
2017-05-01,18.0,6.4,11.1,93.0,55.0,80.0,55.6,11.7,956.8,1018.3,0.1,23,8
