Fecha,id_combinacion,test,pred
2020-01-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,185540.06,176580.11597219293
2020-02-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,181478.57,175769.42246816203
2020-03-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,172502.43,173660.25475614797
2020-04-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,155437.23,164845.84586174093
2020-05-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,143846.24,159611.77398574335
2020-06-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,143287.26,148605.9751020359
2020-07-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,127058.94,146850.406391778
2020-08-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,119506.54000000001,150153.69282127204
2020-09-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,130193.22,152511.43832231744
2020-10-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,133600.77000000002,157209.27252554108
2020-11-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,146589.76,169235.12124242456
2020-12-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,160601.21,176524.42465311926
2021-01-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,164003.46,173252.29304064147
2021-02-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,155079.39,171571.4908451107
2021-03-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,172939.94,170037.47358076516
2021-04-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,157951.88,163501.75455955803
2021-05-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,150949.68,154383.84408152296
2021-06-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,139869.64,150305.63317150384
2021-07-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,139160.18,149891.29055058025
2021-08-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,136830.45,148417.3517581346
2021-09-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial,138796.49,152601.80526828617
