time_idx,Localidad,Nombre Corto,Tipo Cliente,step,y_pred,y_true,Fecha,id_combinacion
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,0,186926.81,185540.06,2020-01-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,1,184871.25,181478.56,2020-02-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,2,181046.86,172502.44,2020-03-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,3,165955.66,155437.23,2020-04-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,4,157214.83,143846.23,2020-05-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,5,143098.03,143287.27,2020-06-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,6,141058.2,127058.94,2020-07-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,7,145735.69,119506.54,2020-08-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,8,156698.36,130193.22,2020-09-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,9,158822.73,133600.77,2020-10-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,10,172889.47,146589.77,2020-11-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,11,184191.36,160601.2,2020-12-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,12,188247.98,164003.45,2021-01-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,13,185903.19,155079.39,2021-02-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,14,179796.0,172939.94,2021-03-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,15,166727.94,157951.88,2021-04-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,16,155067.86,150949.69,2021-05-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,17,145606.36,139869.64,2021-06-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,18,147706.92,139160.19,2021-07-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,19,153001.89,136830.45,2021-08-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,20,162152.03,138796.48,2021-09-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
96,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,AGUAS ANDINAS,Comercial,21,163155.77,160476.05,2021-10-01,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL;AGUAS ANDINAS;Comercial
